country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Portugal,PT,PRT,620,Rural,14,Other improved,0.0,National Census  - CEN01
Portugal,PT,PRT,620,Rural,15,"No facility, bush, field",0.034,National Census  - CEN01
Portugal,PT,PRT,620,Rural,16,Other unimproved,0.008,National Census  - CEN01
Portugal,PT,PRT,620,Rural,17,DK/missing information,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,1,Flush and pour flush - to piped sewer system,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,2,Flush and pour flush - to septic tank,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,3,Flush and pour flush - to pit,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,5,Flush and pour flush - to elsewhere,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,8,Dry latrines - Traditional latrine,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,11,Dry latrines - Bucket latrine,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,12,Dry latrines - Other,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,13,Composting toilets,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,14,Other improved,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,15,"No facility, bush, field",0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,16,Other unimproved,0.0,National Census  - CEN01
Portugal,PT,PRT,620,National,17,DK/missing information,0.0,National Census  - CEN01
Portugal,PT,PRT,620,Urban,1,Flush and pour flush - to piped sewer system,0.998,Census - CEN11
Portugal,PT,PRT,620,Urban,2,Flush and pour flush - to septic tank,0.0,Census - CEN11
Portugal,PT,PRT,620,Urban,3,Flush and pour flush - to pit,0.0,Census - CEN11
Portugal,PT,PRT,620,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN11
Portugal,PT,PRT,620,Urban,5,Flush and pour flush - to elsewhere,0.0,Census - CEN11
Portugal,PT,PRT,620,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census - CEN11
Portugal,PT,PRT,620,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN11
Portugal,PT,PRT,620,Urban,8,Dry latrines - Traditional latrine,0.0,Census - CEN11
Portugal,PT,PRT,620,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census - CEN11
Portugal,PT,PRT,620,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census - CEN11
Portugal,PT,PRT,620,Urban,11,Dry latrines - Bucket latrine,0.0,Census - CEN11
Portugal,PT,PRT,620,Urban,12,Dry latrines - Other,0.0,Census - CEN11
Portugal,PT,PRT,620,Urban,13,Composting toilets,0.0,Census - CEN11
Portugal,PT,PRT,620,Urban,14,Other improved,0.0,Census - CEN11
Portugal,PT,PRT,620,Urban,15,"No facility, bush, field",0.0,Census - CEN11
Portugal,PT,PRT,620,Urban,16,Other unimproved,0.002,Census - CEN11
Portugal,PT,PRT,620,Urban,17,DK/missing information,0.0,Census - CEN11
Portugal,PT,PRT,620,Rural,1,Flush and pour flush - to piped sewer system,0.99,Census - CEN11
Portugal,PT,PRT,620,Rural,2,Flush and pour flush - to septic tank,0.0,Census - CEN11
Portugal,PT,PRT,620,Rural,3,Flush and pour flush - to pit,0.0,Census - CEN11
Portugal,PT,PRT,620,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN11
Portugal,PT,PRT,620,Rural,5,Flush and pour flush - to elsewhere,0.0,Census - CEN11
Portugal,PT,PRT,620,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census - CEN11
Portugal,PT,PRT,620,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN11
Portugal,PT,PRT,620,Rural,8,Dry latrines - Traditional latrine,0.0,Census - CEN11
Portugal,PT,PRT,620,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census - CEN11
Portugal,PT,PRT,620,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census - CEN11
Portugal,PT,PRT,620,Rural,11,Dry latrines - Bucket latrine,0.0,Census - CEN11
Portugal,PT,PRT,620,Rural,12,Dry latrines - Other,0.0,Census - CEN11
Portugal,PT,PRT,620,Rural,13,Composting toilets,0.0,Census - CEN11
Portugal,PT,PRT,620,Rural,14,Other improved,0.0,Census - CEN11
Portugal,PT,PRT,620,Rural,15,"No facility, bush, field",0.0,Census - CEN11
Portugal,PT,PRT,620,Rural,16,Other unimproved,0.01,Census - CEN11
Portugal,PT,PRT,620,Rural,17,DK/missing information,0.0,Census - CEN11
Portugal,PT,PRT,620,National,1,Flush and pour flush - to piped sewer system,0.995,Census - CEN11
Portugal,PT,PRT,620,National,2,Flush and pour flush - to septic tank,0.0,Census - CEN11
Portugal,PT,PRT,620,National,3,Flush and pour flush - to pit,0.0,Census - CEN11
Portugal,PT,PRT,620,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN11
Portugal,PT,PRT,620,National,5,Flush and pour flush - to elsewhere,0.0,Census - CEN11
Portugal,PT,PRT,620,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census - CEN11
Portugal,PT,PRT,620,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN11
Portugal,PT,PRT,620,National,8,Dry latrines - Traditional latrine,0.0,Census - CEN11
Portugal,PT,PRT,620,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census - CEN11
Portugal,PT,PRT,620,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census - CEN11
Portugal,PT,PRT,620,National,11,Dry latrines - Bucket latrine,0.0,Census - CEN11
Portugal,PT,PRT,620,National,12,Dry latrines - Other,0.0,Census - CEN11
Portugal,PT,PRT,620,National,13,Composting toilets,0.0,Census - CEN11
Portugal,PT,PRT,620,National,14,Other improved,0.0,Census - CEN11
Portugal,PT,PRT,620,National,15,"No facility, bush, field",0.0,Census - CEN11
Portugal,PT,PRT,620,National,16,Other unimproved,0.005,Census - CEN11
Portugal,PT,PRT,620,National,17,DK/missing information,0.0,Census - CEN11
Portugal,PT,PRT,620,Urban,1,Flush and pour flush - to piped sewer system,0.994,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,2,Flush and pour flush - to septic tank,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,3,Flush and pour flush - to pit,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,5,Flush and pour flush - to elsewhere,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,8,Dry latrines - Traditional latrine,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,11,Dry latrines - Bucket latrine,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,12,Dry latrines - Other,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,13,Composting toilets,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,14,Other improved,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,15,"No facility, bush, field",0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,16,Other unimproved,0.006,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,17,DK/missing information,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,1,Flush and pour flush - to piped sewer system,0.984,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,2,Flush and pour flush - to septic tank,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,3,Flush and pour flush - to pit,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,5,Flush and pour flush - to elsewhere,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,8,Dry latrines - Traditional latrine,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,11,Dry latrines - Bucket latrine,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,12,Dry latrines - Other,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,13,Composting toilets,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,14,Other improved,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,15,"No facility, bush, field",0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,16,Other unimproved,0.016,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Rural,17,DK/missing information,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,1,Flush and pour flush - to piped sewer system,0.991,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,2,Flush and pour flush - to septic tank,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,3,Flush and pour flush - to pit,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,5,Flush and pour flush - to elsewhere,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,8,Dry latrines - Traditional latrine,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,11,Dry latrines - Bucket latrine,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,12,Dry latrines - Other,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,13,Composting toilets,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,14,Other improved,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,15,"No facility, bush, field",0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,16,Other unimproved,0.009,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,National,17,DK/missing information,0.0,Eurostat SILC database - EUSILC13
Portugal,PT,PRT,620,Urban,1,Flush and pour flush - to piped sewer system,0.993,Eurostat SILC database - EUSILC14
Portugal,PT,PRT,620,Urban,2,Flush and pour flush - to septic tank,0.0,Eurostat SILC database - EUSILC14
Portugal,PT,PRT,620,Urban,3,Flush and pour flush - to pit,0.0,Eurostat SILC database - EUSILC14
Portugal,PT,PRT,620,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Eurostat SILC database - EUSILC14
Portugal,PT,PRT,620,Urban,5,Flush and pour flush - to elsewhere,0.0,Eurostat SILC database - EUSILC14
Portugal,PT,PRT,620,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Eurostat SILC database - EUSILC14
Portugal,PT,PRT,620,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Eurostat SILC database - EUSILC14
Portugal,PT,PRT,620,Urban,8,Dry latrines - Traditional latrine,0.0,Eurostat SILC database - EUSILC14
Portugal,PT,PRT,620,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Eurostat SILC database - EUSILC14
Portugal,PT,PRT,620,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Eurostat SILC database - EUSILC14
